geo,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Belgium,18.0,15.2,19.0,21.2,18.7,18.1,17.5,18.2,19.3,18.5
Bulgaria,30.4,23.9,15.4,14.9,13.8,12.9,13.2,12.9,12.3,12.2
Czechia,13.8,14.6,11.8,11.9,10.5,10.0,9.2,8.9,8.2,8.0
Denmark,8.7,7.8,8.0,16.3,17.6,16.6,15.0,16.1,15.9,14.9
Germany,14.0,14.0,13.3,13.7,13.5,13.1,12.3,12.8,13.1,12.5
Estonia,17.1,20.2,18.8,19.2,19.4,17.5,15.9,13.4,13.9,13.9
Ireland,11.9,13.2,12.6,11.1,13.0,14.3,14.5,13.6,13.4,:
Greece,18.6,17.6,17.1,15.3,14.7,14.0,13.7,15.1,14.7,13.5
Spain,16.8,18.3,21.8,16.1,12.0,16.7,17.1,15.2,15.9,11.5
France,12.8,12.6,12.5,10.9,12.8,12.8,13.4,12.6,14.0,11.1
Croatia,:,:,19.8,15.2,13.3,13.1,11.7,10.9,11.5,11.4
Italy,20.6,20.9,20.5,23.4,21.4,22.9,25.0,24.1,21.0,16.1
Cyprus,26.5,29.6,30.0,29.8,30.0,31.1,25.5,26.5,27.1,29.3
Latvia,25.7,25.9,24.7,26.0,28.2,27.7,27.5,24.4,21.9,22.8
Lithuania,25.1,21.2,19.2,19.0,17.6,19.9,18.9,17.0,18.2,15.7
Luxembourg,16.2,17.5,17.2,15.5,17.1,15.3,15.0,14.4,18.7,17.4
Hungary,30.8,14.5,24.2,22.1,24.7,26.7,26.9,25.4,26.7,24.8
Malta,6.9,9.8,12.1,10.2,10.8,11.8,11.0,10.2,8.9,8.3
Netherlands,15.6,14.2,15.2,14.6,16.2,15.6,15.8,15.7,16.3,13.5
Austria,13.3,15.0,14.8,13.9,11.8,12.5,10.0,11.7,11.2,11.9
Poland,22.8,17.6,15.6,11.5,10.5,10.1,9.2,11.9,11.6,11.9
Portugal,18.9,19.7,21.9,21.3,22.0,31.9,32.8,28.1,30.5,25.5
Romania,24.0,21.7,18.7,18.1,15.5,16.2,13.6,12.8,13.3,11.1
Slovenia,30.2,30.6,32.4,34.7,31.5,27.0,29.9,26.9,23.8,22.0
Slovakia,9.1,6.6,5.8,7.8,8.8,7.5,7.0,6.3,6.2,6.7
Finland,4.4,4.9,5.0,5.7,6.0,5.2,5.0,4.4,4.7,4.2
Sweden,8.0,6.8,8.0,8.7,7.8,7.7,7.7,7.7,7.4,7.0
United Kingdom,15.0,14.6,15.0,15.9,17.2,15.9,16.6,14.8,16.4,:
Iceland,19.9,17.4,16.0,16.0,18.6,18.0,15.9,19.3,18.6,:
Norway,8.2,8.2,7.7,7.6,8.2,7.0,6.0,6.8,5.9,:
Switzerland,8.0,8.6,8.9,10.6,12.8,11.5,11.3,11.9,12.7,:
Former Yugoslav Republic of Macedonia,:,:,24.7,16.6,14.4,14.3,15.2,12.2,14.1,:
Serbia,:,:,:,:,:,21.6,26.2,23.4,21.8,:
Turkey,39.0,42.2,:,41.6,40.6,39.7,37.2,39.0,38.1,:
